model,family,arch,k,p1,coverage,headroom,acc,lift_vs_single,eta,tokens
0.5B,logic,judge,4,0.23194444444444445,0.4068253968253968,0.17488095238095236,0.22777777777777777,-0.00416666666666668,-0.023825731790333638,389.6388888888889
0.5B,logic,judge,8,0.23194444444444445,0.5111111111111111,0.2791666666666666,0.23333333333333334,0.001388888888888884,0.004975124378109436,690.4888888888889
0.5B,logic,oracle,4,0.23194444444444445,0.4068253968253968,0.17488095238095236,0.39444444444444443,0.16249999999999998,0.9292035398230089,265.9611111111111
0.5B,logic,oracle,8,0.23194444444444445,0.5111111111111111,0.2791666666666666,0.5111111111111111,0.2791666666666666,1.0,532.2666666666667
0.5B,logic,vote,4,0.23194444444444445,0.4068253968253968,0.17488095238095236,0.22777777777777777,-0.00416666666666668,-0.023825731790333638,265.9611111111111
0.5B,logic,vote,8,0.23194444444444445,0.5111111111111111,0.2791666666666666,0.23333333333333334,0.001388888888888884,0.004975124378109436,532.2666666666667
0.5B,mbpp,judge,4,0.2763888888888889,0.4363492063492064,0.15996031746031747,0.28888888888888886,0.012499999999999956,0.07814438104688634,1334.9388888888889
0.5B,mbpp,judge,8,0.2763888888888889,0.5,0.2236111111111111,0.3,0.023611111111111083,0.10559006211180112,2547.8555555555554
0.5B,mbpp,oracle,4,0.2763888888888889,0.4363492063492064,0.15996031746031747,0.4444444444444444,0.1680555555555555,1.0506077896303643,789.0277777777778
0.5B,mbpp,oracle,8,0.2763888888888889,0.5,0.2236111111111111,0.5,0.2236111111111111,1.0,1572.7777777777778
0.5B,mbpp,prog,4,0.2763888888888889,0.4363492063492064,0.15996031746031747,0.42777777777777776,0.15138888888888885,0.9464152815678489,789.0277777777778
0.5B,mbpp,prog,8,0.2763888888888889,0.5,0.2236111111111111,0.45555555555555555,0.17916666666666664,0.8012422360248447,1572.7777777777778
0.5B,wordcon,judge,4,0.09305555555555556,0.2928571428571428,0.19980158730158726,0.08333333333333333,-0.00972222222222223,-0.04865938430983123,484.02222222222224
0.5B,wordcon,judge,8,0.09305555555555556,0.4222222222222222,0.32916666666666666,0.022222222222222223,-0.07083333333333333,-0.21518987341772153,868.7111111111111
0.5B,wordcon,oracle,4,0.09305555555555556,0.2928571428571428,0.19980158730158726,0.2722222222222222,0.17916666666666664,0.8967229394240318,314.00555555555553
0.5B,wordcon,oracle,8,0.09305555555555556,0.4222222222222222,0.32916666666666666,0.4222222222222222,0.32916666666666666,1.0,628.8555555555556
0.5B,wordcon,prog,4,0.09305555555555556,0.2928571428571428,0.19980158730158726,0.2722222222222222,0.17916666666666664,0.8967229394240318,314.00555555555553
0.5B,wordcon,prog,8,0.09305555555555556,0.4222222222222222,0.32916666666666666,0.4222222222222222,0.32916666666666666,1.0,628.8555555555556
1.5B,arc,judge,4,0.725,0.7795238095238095,0.05452380952380953,0.7222222222222222,-0.002777777777777768,-0.05094614264919923,578.5
1.5B,arc,judge,8,0.725,0.7888888888888889,0.06388888888888888,0.7,-0.025000000000000022,-0.39130434782608736,1027.6333333333334
1.5B,arc,oracle,4,0.725,0.7795238095238095,0.05452380952380953,0.7833333333333333,0.05833333333333335,1.069868995633188,396.0
1.5B,arc,oracle,8,0.725,0.7888888888888889,0.06388888888888888,0.7888888888888889,0.06388888888888888,1.0,786.2
1.5B,arc,vote,4,0.725,0.7795238095238095,0.05452380952380953,0.7388888888888889,0.01388888888888895,0.25473071324599816,396.0
1.5B,arc,vote,8,0.725,0.7888888888888889,0.06388888888888888,0.7111111111111111,-0.01388888888888884,-0.21739130434782533,786.2
1.5B,csp,judge,4,0.1625,0.35888888888888887,0.19638888888888886,0.17777777777777778,0.015277777777777779,0.07779349363507782,2558.4
1.5B,csp,judge,8,0.1625,0.4777777777777778,0.31527777777777777,0.2,0.037500000000000006,0.11894273127753306,5011.533333333334
1.5B,csp,oracle,4,0.1625,0.35888888888888887,0.19638888888888886,0.3388888888888889,0.1763888888888889,0.8981612446958983,1474.2944444444445
1.5B,csp,oracle,8,0.1625,0.4777777777777778,0.31527777777777777,0.4777777777777778,0.31527777777777777,1.0,2947.266666666667
1.5B,csp,prog,4,0.1625,0.35888888888888887,0.19638888888888886,0.3388888888888889,0.1763888888888889,0.8981612446958983,1474.2944444444445
1.5B,csp,prog,8,0.1625,0.4777777777777778,0.31527777777777777,0.4777777777777778,0.31527777777777777,1.0,2947.266666666667
1.5B,csp,vote,4,0.1625,0.35888888888888887,0.19638888888888886,0.2,0.037500000000000006,0.190947666195191,1474.2944444444445
1.5B,csp,vote,8,0.1625,0.4777777777777778,0.31527777777777777,0.23333333333333334,0.07083333333333333,0.22466960352422907,2947.266666666667
1.5B,gsm8k,judge,4,0.6611111111111111,0.8895238095238096,0.2284126984126985,0.6944444444444444,0.033333333333333326,0.14593467685892972,2083.0666666666666
1.5B,gsm8k,judge,8,0.6611111111111111,0.9444444444444444,0.2833333333333333,0.6888888888888889,0.02777777777777779,0.09803921568627455,4052.1444444444446
1.5B,gsm8k,oracle,4,0.6611111111111111,0.8895238095238096,0.2284126984126985,0.8888888888888888,0.22777777777777775,0.9972202918693531,1218.65
1.5B,gsm8k,oracle,8,0.6611111111111111,0.9444444444444444,0.2833333333333333,0.9444444444444444,0.2833333333333333,1.0,2437.9666666666667
1.5B,gsm8k,vote,4,0.6611111111111111,0.8895238095238096,0.2284126984126985,0.75,0.0888888888888889,0.38915913829047943,1218.65
1.5B,gsm8k,vote,8,0.6611111111111111,0.9444444444444444,0.2833333333333333,0.8666666666666667,0.2055555555555556,0.7254901960784316,2437.9666666666667
1.5B,logic,judge,4,0.46944444444444444,0.7255555555555555,0.25611111111111107,0.5277777777777778,0.05833333333333335,0.22776572668112807,517.4611111111111
1.5B,logic,judge,8,0.46944444444444444,0.8,0.3305555555555556,0.4777777777777778,0.00833333333333336,0.02521008403361352,960.9111111111112
1.5B,logic,oracle,4,0.46944444444444444,0.7255555555555555,0.25611111111111107,0.7166666666666667,0.24722222222222223,0.9652928416485902,330.75
1.5B,logic,oracle,8,0.46944444444444444,0.8,0.3305555555555556,0.8,0.3305555555555556,1.0,669.9444444444445
1.5B,logic,vote,4,0.46944444444444444,0.7255555555555555,0.25611111111111107,0.5166666666666667,0.047222222222222276,0.18438177874186576,330.75
1.5B,logic,vote,8,0.46944444444444444,0.8,0.3305555555555556,0.5444444444444444,0.07499999999999996,0.22689075630252084,669.9444444444445
1.5B,mbpp,judge,4,0.3611111111111111,0.505079365079365,0.1439682539682539,0.4222222222222222,0.061111111111111116,0.4244762954796033,787.0277777777778
1.5B,mbpp,judge,8,0.3611111111111111,0.5555555555555556,0.19444444444444448,0.4111111111111111,0.04999999999999999,0.25714285714285706,1454.0777777777778
1.5B,mbpp,oracle,4,0.3611111111111111,0.505079365079365,0.1439682539682539,0.5055555555555555,0.14444444444444443,1.003307607497244,503.85555555555555
1.5B,mbpp,oracle,8,0.3611111111111111,0.5555555555555556,0.19444444444444448,0.5555555555555556,0.19444444444444448,1.0,1005.5111111111111
1.5B,mbpp,prog,4,0.3611111111111111,0.505079365079365,0.1439682539682539,0.4777777777777778,0.1166666666666667,0.8103638368246974,503.85555555555555
1.5B,mbpp,prog,8,0.3611111111111111,0.5555555555555556,0.19444444444444448,0.5333333333333333,0.17222222222222222,0.8857142857142856,1005.5111111111111
1.5B,wordcon,judge,4,0.07222222222222222,0.2571428571428571,0.1849206349206349,0.05555555555555555,-0.016666666666666663,-0.09012875536480686,469.00555555555553
1.5B,wordcon,judge,8,0.07222222222222222,0.4444444444444444,0.37222222222222223,0.06666666666666667,-0.00555555555555555,-0.014925373134328342,848.9222222222222
1.5B,wordcon,oracle,4,0.07222222222222222,0.2571428571428571,0.1849206349206349,0.2833333333333333,0.2111111111111111,1.1416309012875538,312.01666666666665
1.5B,wordcon,oracle,8,0.07222222222222222,0.4444444444444444,0.37222222222222223,0.4444444444444444,0.37222222222222223,1.0,624.3555555555556
1.5B,wordcon,prog,4,0.07222222222222222,0.2571428571428571,0.1849206349206349,0.2833333333333333,0.2111111111111111,1.1416309012875538,312.01666666666665
1.5B,wordcon,prog,8,0.07222222222222222,0.4444444444444444,0.37222222222222223,0.4444444444444444,0.37222222222222223,1.0,624.3555555555556
