model,family,arch,k,acc,lo,hi,tokens,n
1.5B,gsm8k,seq,2,0.6555555555555556,0.5555555555555556,0.7555555555555555,812.6888888888889,90
1.5B,gsm8k,seq,3,0.6444444444444445,0.5444444444444444,0.7444444444444445,1267.0555555555557,90
1.5B,gsm8k,seq,4,0.6666666666666666,0.5666666666666667,0.7666666666666667,1708.7777777777778,90
1.5B,gsm8k,single,1,0.6444444444444445,0.5444444444444444,0.7444444444444445,309.1333333333333,90
1.5B,gsm8k,vote,4,0.75,0.6666666666666666,0.8277777777777777,1218.65,90
1.5B,gsm8k,vote,8,0.8666666666666667,0.7888888888888889,0.9333333333333333,2437.9666666666667,90
1.5B,logic,debate,6,0.5333333333333333,0.43333333333333335,0.6333333333333333,661.6111111111111,90
1.5B,logic,judge,4,0.5277777777777778,0.4388888888888889,0.6166666666666667,517.4611111111111,90
1.5B,logic,judge,8,0.4777777777777778,0.37777777777777777,0.5777777777777777,960.9111111111112,90
1.5B,logic,long,2,0.5888888888888889,0.4888888888888889,0.6888888888888889,291.8666666666667,90
1.5B,logic,long,4,0.5888888888888889,0.4888888888888889,0.6888888888888889,291.8666666666667,90
1.5B,logic,oracle,4,0.7166666666666667,0.6277777777777778,0.8,330.75,90
1.5B,logic,oracle,8,0.8,0.7111111111111111,0.8777777777777778,669.9444444444445,90
1.5B,logic,seq,1,0.4777777777777778,0.37777777777777777,0.5777777777777777,80.86666666666666,90
1.5B,logic,seq,2,0.4222222222222222,0.32222222222222224,0.5222222222222223,305.9888888888889,90
1.5B,logic,seq,3,0.37777777777777777,0.2777777777777778,0.4777777777777778,621.0111111111111,90
1.5B,logic,seq,4,0.4,0.3,0.5,929.3333333333334,90
1.5B,logic,single,1,0.4777777777777778,0.37777777777777777,0.5777777777777777,80.86666666666666,90
1.5B,logic,vote,4,0.5166666666666667,0.4222222222222222,0.6111111111111112,330.75,90
1.5B,logic,vote,8,0.5444444444444444,0.4444444444444444,0.6444444444444445,669.9444444444445,90
1.5B,mbpp,debate,6,0.37777777777777777,0.2777777777777778,0.4777777777777778,1093.4333333333334,90
1.5B,mbpp,judge,4,0.4222222222222222,0.3333333333333333,0.5166666666666667,787.0277777777778,90
1.5B,mbpp,judge,8,0.4111111111111111,0.3111111111111111,0.5111111111111111,1454.0777777777778,90
1.5B,mbpp,long,2,0.4111111111111111,0.3111111111111111,0.5111111111111111,192.62222222222223,90
1.5B,mbpp,long,4,0.4111111111111111,0.3111111111111111,0.5222222222222223,192.62222222222223,90
1.5B,mbpp,oracle,4,0.5055555555555555,0.40555555555555556,0.6055555555555555,503.85555555555555,90
1.5B,mbpp,oracle,8,0.5555555555555556,0.45555555555555555,0.6555555555555556,1005.5111111111111,90
1.5B,mbpp,prog,4,0.4777777777777778,0.37777777777777777,0.5777777777777777,503.85555555555555,90
1.5B,mbpp,prog,8,0.5333333333333333,0.43333333333333335,0.6333333333333333,1005.5111111111111,90
1.5B,mbpp,seq,1,0.35555555555555557,0.25555555555555554,0.45555555555555555,125.38888888888889,90
1.5B,mbpp,seq,2,0.3888888888888889,0.28888888888888886,0.4888888888888889,366.68888888888887,90
1.5B,mbpp,seq,3,0.4222222222222222,0.32222222222222224,0.5222222222222223,643.9444444444445,90
1.5B,mbpp,seq,4,0.3888888888888889,0.28888888888888886,0.4888888888888889,908.1555555555556,90
1.5B,mbpp,single,1,0.35555555555555557,0.25555555555555554,0.45555555555555555,125.38888888888889,90
1.5B,wordcon,debate,6,0.022222222222222223,0.0,0.05555555555555555,636.7777777777778,90
1.5B,wordcon,judge,4,0.05555555555555555,0.022222222222222223,0.09444444444444444,469.00555555555553,90
1.5B,wordcon,judge,8,0.06666666666666667,0.022222222222222223,0.12222222222222222,848.9222222222222,90
1.5B,wordcon,long,2,0.022222222222222223,0.0,0.05555555555555555,113.05555555555556,90
1.5B,wordcon,long,4,0.022222222222222223,0.0,0.05555555555555555,113.05555555555556,90
1.5B,wordcon,oracle,4,0.2833333333333333,0.2,0.36666666666666664,312.01666666666665,90
1.5B,wordcon,oracle,8,0.4444444444444444,0.34444444444444444,0.5444444444444444,624.3555555555556,90
1.5B,wordcon,prog,4,0.2833333333333333,0.2,0.36666666666666664,312.01666666666665,90
1.5B,wordcon,prog,8,0.4444444444444444,0.34444444444444444,0.5444444444444444,624.3555555555556,90
1.5B,wordcon,seq,1,0.08888888888888889,0.03333333333333333,0.15555555555555556,77.82222222222222,90
1.5B,wordcon,seq,2,0.044444444444444446,0.011111111111111112,0.08888888888888889,199.45555555555555,90
1.5B,wordcon,seq,3,0.06666666666666667,0.022222222222222223,0.12222222222222222,322.64444444444445,90
1.5B,wordcon,seq,4,0.03333333333333333,0.0,0.07777777777777778,448.8888888888889,90
1.5B,wordcon,single,1,0.1,0.044444444444444446,0.16666666666666666,77.92222222222222,90
