model,family,arch,k,acc,tokens,naive_lift,matched_baseline,matched_lift
1.5B,arc,judge,8,0.7,1027.6333333333334,0.0,0.7,0.0
1.5B,arc,vote,4,0.7388888888888889,396.0,0.03888888888888897,0.7,0.03888888888888897
1.5B,arc,vote,8,0.7111111111111111,786.2,0.011111111111111183,0.7,0.011111111111111183
1.5B,csp,debate,6,0.18888888888888888,2532.0777777777776,-0.022222222222222227,0.6444444444444445,-0.4555555555555556
1.5B,csp,judge,4,0.17777777777777778,2558.4,-0.033333333333333326,0.6444444444444445,-0.4666666666666667
1.5B,csp,judge,8,0.2,5011.533333333334,-0.0111111111111111,0.6444444444444445,-0.4444444444444445
1.5B,csp,prog,4,0.3388888888888889,1474.2944444444445,0.1277777777777778,0.6444444444444445,-0.3055555555555556
1.5B,csp,prog,8,0.4777777777777778,2947.266666666667,0.2666666666666667,0.6444444444444445,-0.16666666666666669
1.5B,csp,vote,4,0.2,1474.2944444444445,-0.0111111111111111,0.6444444444444445,-0.4444444444444445
1.5B,csp,vote,8,0.23333333333333334,2947.266666666667,0.022222222222222227,0.6444444444444445,-0.41111111111111115
1.5B,gsm8k,debate,6,0.5333333333333333,2194.3,-0.11111111111111116,0.7222222222222222,-0.18888888888888888
1.5B,gsm8k,judge,4,0.6944444444444444,2083.0666666666666,0.04999999999999993,0.7222222222222222,-0.02777777777777779
1.5B,gsm8k,judge,8,0.6888888888888889,4052.1444444444446,0.0444444444444444,0.7222222222222222,-0.033333333333333326
1.5B,gsm8k,vote,4,0.75,1218.65,0.10555555555555551,0.7222222222222222,0.02777777777777779
1.5B,gsm8k,vote,8,0.8666666666666667,2437.9666666666667,0.2222222222222222,0.7222222222222222,0.1444444444444445
1.5B,logic,debate,6,0.5333333333333333,661.6111111111111,0.055555555555555525,0.5888888888888889,-0.05555555555555558
1.5B,logic,judge,4,0.5277777777777778,517.4611111111111,0.04999999999999999,0.5888888888888889,-0.061111111111111116
1.5B,logic,judge,8,0.4777777777777778,960.9111111111112,0.0,0.5888888888888889,-0.1111111111111111
1.5B,logic,vote,4,0.5166666666666667,330.75,0.03888888888888892,0.5888888888888889,-0.07222222222222219
1.5B,logic,vote,8,0.5444444444444444,669.9444444444445,0.0666666666666666,0.5888888888888889,-0.04444444444444451
1.5B,mbpp,debate,6,0.37777777777777777,1093.4333333333334,0.0222222222222222,0.4222222222222222,-0.04444444444444445
1.5B,mbpp,judge,4,0.4222222222222222,787.0277777777778,0.06666666666666665,0.4222222222222222,0.0
1.5B,mbpp,judge,8,0.4111111111111111,1454.0777777777778,0.055555555555555525,0.4222222222222222,-0.011111111111111127
1.5B,mbpp,prog,4,0.4777777777777778,503.85555555555555,0.12222222222222223,0.41660811213971155,0.06116966563806625
1.5B,mbpp,prog,8,0.5333333333333333,1005.5111111111111,0.17777777777777776,0.4222222222222222,0.1111111111111111
1.5B,wordcon,debate,6,0.022222222222222223,636.7777777777778,-0.07777777777777778,0.1,-0.07777777777777778
1.5B,wordcon,judge,4,0.05555555555555555,469.00555555555553,-0.04444444444444445,0.1,-0.04444444444444445
1.5B,wordcon,judge,8,0.06666666666666667,848.9222222222222,-0.03333333333333334,0.1,-0.03333333333333334
1.5B,wordcon,prog,4,0.2833333333333333,312.01666666666665,0.18333333333333332,0.1,0.18333333333333332
1.5B,wordcon,prog,8,0.4444444444444444,624.3555555555556,0.34444444444444444,0.1,0.34444444444444444
