model,family,config,arch,matched_lift,lo,hi,p,p_holm
0.5B,mbpp,debate_a3r2,debate,0.05555555555555555,-0.033333333333333326,0.12222222222222223,0.139,1.0
0.5B,mbpp,judge_k4,judge,0.044444444444444425,-0.03888888888888886,0.09444444444444444,0.178,1.0
0.5B,mbpp,judge_k8,judge,0.05555555555555555,-0.04444444444444445,0.12222222222222223,0.1805,1.0
0.5B,mbpp,prog_k4,prog,0.18333333333333332,0.0888888888888889,0.25,0.0,0.0
0.5B,mbpp,prog_k8,prog,0.2111111111111111,0.11111111111111113,0.2777777777777778,0.0,0.0
0.5B,wordcon,debate_a3r2,debate,0.14444444444444446,0.05555555555555555,0.2222222222222222,0.0005,0.0225
0.5B,wordcon,judge_k4,judge,0.049999999999999996,-0.005555555555555557,0.08888888888888888,0.026,1.0
0.5B,wordcon,judge_k8,judge,-0.01111111111111111,-0.05555555555555555,0.0,0.271,1.0
0.5B,wordcon,prog_k4,prog,0.23888888888888887,0.15555555555555556,0.3111111111111111,0.0,0.0
0.5B,wordcon,prog_k8,prog,0.3888888888888889,0.28888888888888886,0.4777777777777778,0.0,0.0
1.5B,arc,debate_a3r2,debate,0.022222222222222254,-0.04444444444444451,0.06666666666666665,0.4025,1.0
1.5B,arc,judge_k4,judge,0.022222222222222254,-0.05555555555555547,0.05555555555555558,0.376,1.0
1.5B,arc,judge_k8,judge,0.0,-0.07777777777777772,0.033333333333333326,0.8785,1.0
1.5B,arc,vote_k4,vote,0.03888888888888897,-0.033333333333333326,0.07777777777777772,0.1475,1.0
1.5B,arc,vote_k8,vote,0.011111111111111183,-0.06666666666666665,0.03333333333333344,0.5035,1.0
1.5B,csp,debate_a3r2,debate,-0.4555555555555556,-0.5777777777777777,-0.3333333333333333,0.0,0.0
1.5B,csp,judge_k4,judge,-0.4666666666666667,-0.5833333333333333,-0.35,0.0,0.0
1.5B,csp,judge_k8,judge,-0.4444444444444445,-0.5666666666666667,-0.3111111111111111,0.0,0.0
1.5B,csp,prog_k4,prog,-0.3055555555555556,-0.43888888888888883,-0.17222222222222222,0.0,0.0
1.5B,csp,prog_k8,prog,-0.16666666666666669,-0.31111111111111106,-0.022222222222222254,0.016,0.64
1.5B,csp,vote_k4,vote,-0.4444444444444445,-0.5611111111111111,-0.3277777777777777,0.0,0.0
1.5B,csp,vote_k8,vote,-0.41111111111111115,-0.5333333333333334,-0.28888888888888886,0.0,0.0
1.5B,gsm8k,debate_a3r2,debate,-0.18888888888888888,-0.31111111111111106,-0.0888888888888889,0.0005,0.0225
1.5B,gsm8k,judge_k4,judge,-0.02777777777777779,-0.12222222222222223,0.04444444444444451,0.502,1.0
1.5B,gsm8k,judge_k8,judge,-0.033333333333333326,-0.1444444444444445,0.06666666666666665,0.514,1.0
1.5B,gsm8k,vote_k4,vote,0.02777777777777779,-0.061111111111111116,0.09999999999999998,0.496,1.0
1.5B,gsm8k,vote_k8,vote,0.1444444444444445,0.06666666666666665,0.21111111111111114,0.0,0.0
1.5B,logic,debate_a3r2,debate,-0.05555555555555558,-0.1777777777777778,0.06666666666666665,0.3185,1.0
1.5B,logic,judge_k4,judge,-0.061111111111111116,-0.1777777777777778,0.050000000000000044,0.311,1.0
1.5B,logic,judge_k8,judge,-0.1111111111111111,-0.23333333333333334,0.0,0.0625,1.0
1.5B,logic,vote_k4,vote,-0.07222222222222219,-0.18888888888888883,0.033333333333333326,0.206,1.0
1.5B,logic,vote_k8,vote,-0.04444444444444451,-0.16666666666666669,0.06666666666666676,0.426,1.0
1.5B,mbpp,debate_a3r2,debate,-0.04444444444444445,-0.15555555555555556,0.022222222222222254,0.281,1.0
1.5B,mbpp,judge_k4,judge,0.0,-0.09999999999999998,0.050000000000000044,0.9575,1.0
1.5B,mbpp,judge_k8,judge,-0.011111111111111127,-0.12222222222222223,0.055555555555555525,0.7545,1.0
1.5B,mbpp,prog_k4,prog,0.06116966563806625,-0.025880589149947356,0.11111111111111116,0.0665,1.0
1.5B,mbpp,prog_k8,prog,0.1111111111111111,0.011111111111111127,0.16666666666666669,0.001,0.043000000000000003
1.5B,wordcon,debate_a3r2,debate,-0.07777777777777778,-0.14444444444444446,-0.03305555555555454,0.0075,0.3075
1.5B,wordcon,judge_k4,judge,-0.04444444444444445,-0.1111111111111111,0.00555555555555555,0.1355,1.0
1.5B,wordcon,judge_k8,judge,-0.03333333333333334,-0.09999999999999998,0.0111111111111111,0.16,1.0
1.5B,wordcon,prog_k4,prog,0.18333333333333332,0.1111111111111111,0.24444444444444446,0.0,0.0
1.5B,wordcon,prog_k8,prog,0.34444444444444444,0.24444444444444444,0.43333333333333335,0.0,0.0
